F42B48,Ubiqam
50F14A,Texas
04DEF2,Shenzhen
78C1A7,zte
4C7872,Cav.
8CF5A3,SAMSUNG
8CC8F4,IEEE
F483E1,Shanghai
083E5D,Sagemcom
3CBD3E,Beijing Xiaomi
641A22,Heliospectra
A084CB,SonicSensory
D47AE2,Samsung
6854FD,Amazon
0003BC,COT
D4B169,Le
E44790,GUANGDONG
38454C,Light
000A49,F5
00A0C8,Adtran
F49651,NAKAYO
446246,Comat
34FCB9,Hewlett
70918F,Weber-Stephen
D8E0E1,Samsung
7C1015,Brilliant
D8C771,HUAWEI
E02A82,Universal
B0F963,Hangzhou
D490E0,Topcon
A84041,Dragino
E02202,ARRIS
D825B0,Rockeetech
74614B,Chongqing
98D293,Google
CCB8A8,AMPAK
1077B0,Fiberhome
F01DBC,Microsoft
34049E,IEEE
94FB29,Zebra
B0702D,Apple
6C19C0,Apple
00204F,DEUTSCHE
00DBDF,Intel
94A04E,Bostex
8CE117,zte
688AF0,zte
C0210D,SHENZHEN
4CE2F1,sclak
504B5B,CONTROLtronic
B47447,CoreOS
80D4A5,HUAWEI
04B0E7,HUAWEI
446A2E,HUAWEI
0C8DDB,Cisco
B0EE7B,Roku
AC587B,JCT
1062EB,D-Link
000894,InnoVISION
480033,Technicolor
A06FAA,LG
0026AB,Seiko
FC10C6,Taicang
2C6FC9,Hon
58EF68,Belkin
000B4F,Verifone
60C798,Verifone
C8662C,Beijing Xiaomi
8096CA,Hon
186571,Top
F83F51,Samsung
50D753,CONELCOM
0CC47A,Super
34D270,Amazon
50795B,Interexport
0016D9,NINGBO
6CA7FA,YOUNGBO
8C7EB3,Lytro
B4B384,ShenZhen
7828CA,Sonos
00C003,GLOBALNET
00234A,Private
2C402B,Smart
5C6B4F,Hello
2C9924,ARRIS
D058A8,zte
D071C4,zte
A0CC2B,Murata Manufactu
5001D9,HUAWEI
00271C,MERCURY
E0D9E3,Eltex
805EC0,YEALINK(XIAMEN)
007B18,SENTRY
144D67,Zioncom
4CE173,IEEE
0CD86C,SHENZHEN
049790,Lartech
28EED3,Shenzhen
24C44A,zte
98541B,Intel
1C40E8,SHENZHEN
0023D2,Inhand
DC0B34,LG
404E36,HTC
A8E705,Fiberhome
9840BB,Dell
0060D6,NovAtel
503AA0,SHENZHEN
B0958E,TP-LINK
C025E9,TP-LINK
802AA8,Ubiquiti
F09FC2,Ubiquiti
188B15,ShenZhen
788A20,Ubiquiti
886B0F,Bluegiga
AC84C9,Sagemcom
245CBF,NCSE
2C3361,Apple
60A4D0,Samsung
008701,Samsung
5C9960,Samsung
9C62AB,Sumavision
C8F946,LOCOSYS
487B6B,HUAWEI
883FD3,HUAWEI
240D65,Shenzhen
000B14,ViewSonic
C8028F,Nova
A46011,Verifone
5CA933,Luma
00137E,CorEdge
D814D6,SURE
6CEFC6,SHENZHEN
101DC0,Samsung
002341,Vanderbilt
407C7D,Nokia
24590B,White
68EBAE,Samsung
444E1A,Samsung
143365,TEM
801844,Dell
78471D,Samsung
A07591,Samsung
0CDFA4,Samsung
B072BF,Murata
701DC4,NorthStar
64DAA0,Robert
14B837,Shenzhen
5C8613,Beijing Xiaomi
CC7314,HONG
B8EE65,Liteon
985BB0,KMDATA
E006E6,Hon
BC8556,Hon
342387,Hon
002637,SAMSUNG
002119,SAMSUNG
F4D9FB,Samsung
3C6200,Samsung
C417FE,Hon
9439E5,Hon
642737,Hon
A41731,Hon
5CA39D,SAMSUNG
90187C,SAMSUNG
50CCF8,SAMSUNG
00223B,Communication
C0F8DA,Hon
0011FF,Digitro
001B94,T.E.M.A.
F0F002,Hon
C0CB38,Hon
F07BCB,Hon
50B7C3,Samsung
1C5A3E,Samsung
A02195,Samsung
B07870,Wi-NEXT
E47CF9,Samsung
4844F7,Samsung
001377,Samsung
002454,Samsung
E81132,Samsung
C06599,Samsung
BC79AD,Samsung
4C3C16,Samsung
0073E0,Samsung
0017D5,Samsung
001E7D,Samsung
001DF6,Samsung
F008F1,Samsung
58C38B,Samsung
00E3B2,Samsung
